MovieID,MovieName,PubYear
141,To Kill a Mockingbird,1962
271,Touch of Evil,1958
223,Toy Story,1995
129,Toy Story 3,2010
309,Trainspotting,1996
359,Twelve Monkeys,1995
197,Unforgiven,1992
231,Up,2009
321,V for Vendetta,2005
105,Vertigo,1958
125,WALLE,2008
319,Warrior,2011
409,Who's Afraid of Virginia Woolf?,1966
257,Wild Strawberries,1957
199,Witness for the Prosecution,1957
213,Yojimbo,1961
